,Student_ID,First_Name,Last_Name,Country,Student_Number,Grade,Status,Birthdate,Graduation_Year,Age
0,13001.0,Ora,Klein,CA,13001.0,9.0,Active,10/3/1999,2019.0,23.0
1,13002.0,Beulah,McMillan,ES,13002.0,10.0,Active,18/4/1999,2018.0,23.0
2,13003.0,Florence,Stark,CA,13003.0,12.0,Active,20/5/1999,2016.0,23.0
3,13004.0,Noah,Gilbertson,UK,13004.0,9.0,Active,19/8/1999,2019.0,23.0
4,13005.0,Erna,Parker,UK,13005.0,11.0,Active,9/1/2000,2017.0,22.0
5,13006.0,Sherry,Santana,CA,13006.0,10.0,Active,22/4/2000,2018.0,22.0
6,13007.0,Ronald,Lees,UK,13012.0,9.0,Active,11/6/2000,2019.0,22.0
7,13008.0,Latasha,Pratt,US,13013.0,11.0,Active,15/6/2000,2016.0,22.0
8,13009.0,Misty,Thomas,US,13014.0,10.0,Active,22/6/2000,2017.0,22.0
9,13010.0,Petra,Barlow,CA,13015.0,9.0,Active,31/12/2000,2019.0,21.0
10,13011.0,Bonnie,Hampton,CA,13016.0,12.0,Active,2/2/2001,2017.0,21.0
11,13012.0,Dion,Matheson,CA,13017.0,10.0,Active,20/3/2001,2017.0,21.0
12,13013.0,Cesar,McCray,CA,13018.0,9.0,Active,17/7/2001,2020.0,21.0
13,13014.0,Rickey,Cottle,CA,13019.0,10.0,Active,18/8/2001,2019.0,21.0
14,13015.0,Fredrick,Markley,CA,13020.0,11.0,Active,6/2/2002,2018.0,20.0
15,13016.0,Joshua,Bartels,ES,13021.0,9.0,Active,9/6/2002,2020.0,20.0
16,13017.0,Maribel,Parsons,ES,13022.0,10.0,Active,22/6/2002,2019.0,20.0
17,13018.0,Erma,Ballard,US,13023.0,12.0,Active,31/7/2002,2017.0,20.0
18,13019.0,Wilfred,Bevins,UK,13024.0,9.0,Active,22/1/2003,2020.0,19.0
19,13020.0,Rogelio,Cazares,UK,13025.0,10.0,Active,24/1/2003,2019.0,19.0
20,13021.0,Dixie,Morrison,UK,13026.0,11.0,Active,15/2/2003,2018.0,19.0
21,13022.0,Williams,Bisson,CA,13027.0,9.0,Active,9/3/2003,2020.0,19.0
22,13023.0,Christie,Clayton,ES,13028.0,10.0,Active,5/4/2003,2019.0,19.0
23,13024.0,Angelina,Craig,US,13029.0,11.0,Active,2/6/2003,2018.0,19.0
24,13025.0,Earnest,Rome,UK,13030.0,9.0,Active,29/10/2003,2020.0,18.0
25,13026.0,Madeline,Sargent,US,13031.0,10.0,Active,26/8/1999,2019.0,23.0
26,13027.0,Gene,Angulo,UK,13032.0,9.0,Active,4/1/2000,2019.0,22.0
27,13028.0,Daphne,Bentley,US,13033.0,11.0,Active,11/2/2000,2017.0,22.0
28,13029.0,Dora,Montgomery,ES,13034.0,10.0,Active,8/6/2000,2017.0,22.0
29,13030.0,Bertha,Nolan,ES,13035.0,9.0,Active,11/10/2000,2020.0,21.0
30,13031.0,Stacey,Foltz,CA,13036.0,12.0,Active,3/11/2000,2019.0,21.0
31,13032.0,Wilma,Aguirre,CA,13037.0,10.0,Active,7/11/2000,2018.0,21.0
32,13033.0,Forrest,Downes,UK,13038.0,9.0,Active,27/7/2001,2020.0,21.0
33,13034.0,Noah,Roger,UK,13039.0,12.0,Active,14/10/2001,2019.0,20.0
34,13035.0,Tracy,Baxley,US,13040.0,10.0,Active,28/10/2001,2017.0,20.0
35,13036.0,Federico,Fiore,UK,13041.0,9.0,Active,19/3/2002,2020.0,20.0
36,13037.0,Nancy,Mendoza,US,13042.0,10.0,Active,15/5/2002,2019.0,20.0
37,13038.0,Luther,Briley,UK,13043.0,12.0,Active,25/5/2002,2017.0,20.0
38,13039.0,Norbert,Lunn,CA,13044.0,9.0,Active,26/7/2002,2020.0,20.0
39,13040.0,Fidel,Obryan,CA,13045.0,11.0,Active,23/9/2002,2018.0,20.0
40,13041.0,Byron,Montenegro,CA,13046.0,10.0,Active,26/10/2002,2019.0,19.0
41,13042.0,Blaine,Dulaney,UK,13047.0,9.0,Active,13/11/2002,2020.0,19.0
42,13043.0,Dennis,Word,UK,13048.0,12.0,Active,28/12/2002,2017.0,19.0
43,13044.0,Coy,Whiteman,CA,13049.0,11.0,Active,30/1/2003,2018.0,19.0
44,13045.0,Rosie,Ingram,UK,13050.0,9.0,Active,4/2/2003,2020.0,19.0
45,13046.0,Anita,Miranda,US,13051.0,10.0,Active,26/2/2003,2019.0,19.0
46,13047.0,Jerri,Noel,UK,13052.0,9.0,Active,9/6/2003,2020.0,19.0
47,13048.0,Dona,Small,ES,13053.0,11.0,Active,8/10/2003,2018.0,18.0
48,13049.0,Erik,Theriault,ES,13054.0,10.0,Active,15/12/2003,2019.0,18.0
49,13050.0,Earnestine,Mosley,ES,13055.0,9.0,Active,19/12/2003,2020.0,18.0
50,13051.0,Jimmie,Petty,UK,13056.0,12.0,Active,5/1/1999,2017.0,23.0
51,13052.0,Burton,Saul,ES,13057.0,10.0,Active,30/4/1999,2019.0,23.0
52,13053.0,Juanita,Hardy,ES,13058.0,9.0,Active,5/12/1999,2020.0,22.0
53,13054.0,Benny,Vanover,US,13059.0,10.0,Active,13/2/2000,2019.0,22.0
54,13055.0,Harrison,Badillo,CA,13060.0,11.0,Active,14/4/2000,2018.0,22.0
55,13056.0,Jorge,Bevins,CA,13061.0,9.0,Active,9/9/2000,2020.0,22.0
56,13057.0,Briana,Tyson,UK,13062.0,10.0,Active,16/9/2000,2019.0,22.0
57,13058.0,Shelby,Abbott,US,13063.0,12.0,Active,8/11/2000,2017.0,21.0
58,13059.0,Carlos,Lauer,CA,13064.0,9.0,Active,15/11/2000,2020.0,21.0
